player_id,name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
15697539,Hernan Gumy,hernan gumy,ARG,R,188.0,2000-01-17,2000-08-28
63396451,Gaston Gaudio,gaston gaudio,ARG,R,175.0,2000-01-17,2009-05-25
56230696,Thomas Enqvist,thomas enqvist,SWE,R,190.0,2000-01-17,2005-06-20
74493481,Fabrice Santoro,fabrice santoro,FRA,R,178.0,2000-01-17,2010-01-18
4978971,Sargis Sargsian,sargis sargsian,ARM,R,180.0,2000-01-17,2005-06-20
72102132,Andrei Medvedev,andrei medvedev,UKR,R,193.0,2000-01-17,2001-06-25
17005584,Agustin Calleri,agustin calleri,ARG,R,183.0,2000-05-29,2009-06-22
87917681,Dominik Hrbaty,dominik hrbaty,SVK,R,183.0,2000-01-17,2009-01-19
50825699,Marat Safin,marat safin,RUS,R,193.0,2000-01-17,2009-08-31
22518685,Andrea Gaudenzi,andrea gaudenzi,ITA,R,183.0,2000-01-17,2003-01-13
59494736,Juan Balcells,juan balcells,ESP,R,190.0,2000-05-29,2003-01-13
46515073,Patrick Rafter,patrick rafter,AUS,R,185.0,2000-05-29,2001-08-27
98371983,Cedric Pioline,cedric pioline,FRA,R,188.0,2000-01-17,2002-06-24
1972334,Gustavo Kuerten,gustavo kuerten,BRA,R,190.0,2000-01-17,2008-05-25
56344783,Marcelo Charpentier,marcelo charpentier,ARG,L,180.0,2000-05-29,2000-05-29
45848466,Michael Chang,michael chang,USA,R,175.0,2000-01-17,2003-08-25
25837557,Guillermo Coria,guillermo coria,ARG,R,175.0,2000-05-29,2008-05-25
96355938,Bohdan Ulihrach,bohdan ulihrach,CZE,R,188.0,2000-05-29,2007-06-25
49024482,Christian Vinck,christian vinck,GER,L,183.0,2000-05-29,2001-01-15
76020618,Ronald Agenor,ronald agenor,USA,R,180.0,2000-01-17,2000-06-26
22862346,Federico Browne,federico browne,ARG,R,180.0,2000-05-29,2003-05-26
7174028,Jan Michael Gambill,jan michael gambill,USA,R,190.0,2000-01-17,2005-08-29
20863966,Orlin Stanoytchev,orlin stanoytchev,BUL,R,185.0,2000-01-17,2000-08-28
90150231,Michel Kratochvil,michel kratochvil,SUI,R,185.0,2000-05-29,2003-06-23
50026670,Werner Eschauer,werner eschauer,AUT,R,188.0,2000-05-29,2008-01-14
83072391,Fernando Meligeni,fernando meligeni,BRA,L,180.0,2000-01-17,2003-01-13
66161345,Mariano Puerta,mariano puerta,ARG,L,180.0,2000-01-17,2005-08-29
54329250,Markus Hipfl,markus hipfl,AUT,R,178.0,2000-01-17,2002-06-24
60388510,Paul Goldstein,paul goldstein,USA,R,178.0,2000-01-17,2007-08-27
17360283,Justin Gimelstob,justin gimelstob,USA,R,196.0,2000-05-29,2007-08-27
60358498,Alberto Martin,alberto martin,ESP,R,175.0,2000-01-17,2009-08-31
44925353,Neville Godwin,neville godwin,RSA,R,173.0,2000-06-26,2002-06-24
21628085,Harel Levy,harel levy,ISR,R,185.0,2000-05-29,2008-01-14
97777316,Jeff Tarango,jeff tarango,USA,L,180.0,2000-01-17,2001-01-15
6768670,Olivier Rochus,olivier rochus,BEL,R,168.0,2000-06-26,2013-06-24
25480852,Alex Obrien,alex obrien,USA,R,185.0,2000-01-17,2001-01-15
49993757,Byron Black,byron black,ZIM,R,175.0,2000-01-17,2002-01-14
2432553,Vincent Spadea,vincent spadea,USA,R,183.0,2000-01-17,2009-06-22
18606603,Andrei Pavel,andrei pavel,ROU,R,183.0,2000-05-29,2009-08-31
65182531,Daniel Nestor,daniel nestor,CAN,L,190.0,2000-06-26,2001-06-25
15797083,Martin Lee,martin lee,GBR,L,180.0,2000-06-26,2006-06-26
8162410,Vladimir Voltchkov,vladimir voltchkov,BLR,R,180.0,2000-06-26,2004-05-24
54256118,Magnus Gustafsson,magnus gustafsson,SWE,R,185.0,2000-05-29,2001-08-27
80402364,Arvind Parmar,arvind parmar,GBR,R,193.0,2000-01-17,2004-06-21
67111803,Alexander Popp,alexander popp,GER,R,201.0,2000-05-29,2005-08-29
70639018,Justin Bower,justin bower,RSA,L,190.0,2000-06-26,2002-06-24
26259214,Sebastien Lareau,sebastien lareau,CAN,R,183.0,2000-01-17,2000-08-28
34290685,Arnaud Di Pasquale,arnaud di pasquale,FRA,R,185.0,2000-05-29,2004-08-30
37367126,Martin Damm Sr,martin damm sr,CZE,R,188.0,2000-01-17,2002-01-14
82205111,David Prinosil,david prinosil,GER,R,185.0,2000-05-29,2003-01-13
99923760,Stephane Huet,stephane huet,FRA,L,180.0,2000-05-29,2001-06-25
72009905,Jerome Golmard,jerome golmard,FRA,L,188.0,2000-01-17,2004-08-30
33644704,Julien Boutter,julien boutter,FRA,R,190.0,2000-01-17,2004-06-21
33954534,Marcelo Rios,marcelo rios,CHI,L,175.0,2000-05-29,2003-05-26
82741393,Jens Knippschild,jens knippschild,GER,R,190.0,2000-01-17,2002-05-27
48907240,Petr Kralert,petr kralert,CZE,R,188.0,2000-08-28,2000-08-28
80252140,Hyung Taik Lee,hyung taik lee,KOR,R,180.0,2000-08-28,2008-08-25
7897316,Fernando Gonzalez,fernando gonzalez,CHI,R,183.0,2000-08-28,2011-08-29
43085331,Andre Sa,andre sa,BRA,R,185.0,2000-05-29,2004-06-21
34277736,Cyril Saulnier,cyril saulnier,FRA,R,190.0,2000-01-17,2006-01-16
44690618,Carlos Moya,carlos moya,ESP,R,190.0,2000-05-29,2010-01-18
40629955,Greg Rusedski,greg rusedski,GBR,L,193.0,2000-05-29,2006-08-28
95959630,Galo Blanco,galo blanco,ESP,R,173.0,2000-01-17,2004-06-21
84892363,Xavier Malisse,xavier malisse,BEL,R,185.0,2000-08-28,2013-08-26
10907646,Wayne Arthurs,wayne arthurs,AUS,L,190.0,2000-01-17,2007-06-25
2628871,Lars Burgsmuller,lars burgsmuller,GER,R,183.0,2000-08-28,2006-01-16
73075043,Alex Calatrava,alex calatrava,ESP,R,190.0,2001-01-15,2005-06-20
78670323,Jan Siemerink,jan siemerink,NED,L,183.0,2000-01-17,2001-08-27
17996753,Cecil Mamiit,cecil mamiit,PHI,R,173.0,2000-01-17,2004-01-19
55420680,Mikhail Youzhny,mikhail youzhny,RUS,R,183.0,2001-01-15,2018-08-27
36108295,Ivo Heuberger,ivo heuberger,SUI,R,188.0,2001-01-15,2004-08-30
60154348,Nikolay Davydenko,nikolay davydenko,RUS,R,178.0,2001-01-15,2014-05-26
5497639,Guillermo Canas,guillermo canas,ARG,R,185.0,2000-01-17,2009-06-22
26349341,Michal Tabara,michal tabara,CZE,R,175.0,2000-01-17,2005-06-20
72377421,Sergi Bruguera,sergi bruguera,ESP,R,188.0,2000-05-29,2001-08-27
59799271,Michael Russell,michael russell,USA,R,173.0,2000-06-26,2015-01-19
68006483,Kristian Pless,kristian pless,DEN,R,188.0,2001-05-28,2007-08-27
81788658,Tommy Robredo,tommy robredo,ESP,R,180.0,2001-01-15,2018-08-27
56801980,Jean Rene Lisnard,jean rene lisnard,MON,R,173.0,2000-05-29,2011-08-29
58192616,Marcos Ondruska,marcos ondruska,RSA,R,183.0,2001-01-15,2001-05-28
16727277,Jacobo Diaz,jacobo diaz,ESP,R,173.0,2000-01-17,2003-01-13
