name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
Dominik Hrbaty,dominik hrbaty,SVK,R,183.0,2000-01-17,2009-01-19
Marat Safin,marat safin,RUS,R,193.0,2000-01-17,2009-08-31
Andrea Gaudenzi,andrea gaudenzi,ITA,R,183.0,2000-01-17,2003-01-13
Juan Balcells,juan balcells,ESP,R,190.0,2000-05-29,2003-01-13
Patrick Rafter,patrick rafter,AUS,R,185.0,2000-05-29,2001-08-27
Cedric Pioline,cedric pioline,FRA,R,188.0,2000-01-17,2002-06-24
Gustavo Kuerten,gustavo kuerten,BRA,R,190.0,2000-01-17,2008-05-25
Marcelo Charpentier,marcelo charpentier,ARG,L,180.0,2000-05-29,2000-05-29
Michael Chang,michael chang,USA,R,175.0,2000-01-17,2003-08-25
Guillermo Coria,guillermo coria,ARG,R,175.0,2000-05-29,2008-05-25
Bohdan Ulihrach,bohdan ulihrach,CZE,R,188.0,2000-05-29,2007-06-25
Christian Vinck,christian vinck,GER,L,183.0,2000-05-29,2001-01-15
Ronald Agenor,ronald agenor,USA,R,180.0,2000-01-17,2000-06-26
Federico Browne,federico browne,ARG,R,180.0,2000-05-29,2003-05-26
Jan Michael Gambill,jan michael gambill,USA,R,190.0,2000-01-17,2005-08-29
Orlin Stanoytchev,orlin stanoytchev,BUL,R,185.0,2000-01-17,2000-08-28
Michel Kratochvil,michel kratochvil,SUI,R,185.0,2000-05-29,2003-06-23
Werner Eschauer,werner eschauer,AUT,R,188.0,2000-05-29,2008-01-14
Fernando Meligeni,fernando meligeni,BRA,L,180.0,2000-01-17,2003-01-13
Mariano Puerta,mariano puerta,ARG,L,180.0,2000-01-17,2005-08-29
Markus Hipfl,markus hipfl,AUT,R,178.0,2000-01-17,2002-06-24
Paul Goldstein,paul goldstein,USA,R,178.0,2000-01-17,2007-08-27
Justin Gimelstob,justin gimelstob,USA,R,196.0,2000-05-29,2007-08-27
Alberto Martin,alberto martin,ESP,R,175.0,2000-01-17,2009-08-31
Neville Godwin,neville godwin,RSA,R,173.0,2000-06-26,2002-06-24
Harel Levy,harel levy,ISR,R,185.0,2000-05-29,2008-01-14
Jeff Tarango,jeff tarango,USA,L,180.0,2000-01-17,2001-01-15
Olivier Rochus,olivier rochus,BEL,R,168.0,2000-06-26,2013-06-24
Alex Obrien,alex obrien,USA,R,185.0,2000-01-17,2001-01-15
Byron Black,byron black,ZIM,R,175.0,2000-01-17,2002-01-14
Vincent Spadea,vincent spadea,USA,R,183.0,2000-01-17,2009-06-22
Andrei Pavel,andrei pavel,ROU,R,183.0,2000-05-29,2009-08-31
Daniel Nestor,daniel nestor,CAN,L,190.0,2000-06-26,2001-06-25
Martin Lee,martin lee,GBR,L,180.0,2000-06-26,2006-06-26
Vladimir Voltchkov,vladimir voltchkov,BLR,R,180.0,2000-06-26,2004-05-24
Magnus Gustafsson,magnus gustafsson,SWE,R,185.0,2000-05-29,2001-08-27
Arvind Parmar,arvind parmar,GBR,R,193.0,2000-01-17,2004-06-21
Alexander Popp,alexander popp,GER,R,201.0,2000-05-29,2005-08-29
Justin Bower,justin bower,RSA,L,190.0,2000-06-26,2002-06-24
Sebastien Lareau,sebastien lareau,CAN,R,183.0,2000-01-17,2000-08-28
Arnaud Di Pasquale,arnaud di pasquale,FRA,R,185.0,2000-05-29,2004-08-30
Martin Damm Sr,martin damm sr,CZE,R,188.0,2000-01-17,2002-01-14
David Prinosil,david prinosil,GER,R,185.0,2000-05-29,2003-01-13
Stephane Huet,stephane huet,FRA,L,180.0,2000-05-29,2001-06-25
Jerome Golmard,jerome golmard,FRA,L,188.0,2000-01-17,2004-08-30
Julien Boutter,julien boutter,FRA,R,190.0,2000-01-17,2004-06-21
Marcelo Rios,marcelo rios,CHI,L,175.0,2000-05-29,2003-05-26
Jens Knippschild,jens knippschild,GER,R,190.0,2000-01-17,2002-05-27
Petr Kralert,petr kralert,CZE,R,188.0,2000-08-28,2000-08-28
Hyung Taik Lee,hyung taik lee,KOR,R,180.0,2000-08-28,2008-08-25
Fernando Gonzalez,fernando gonzalez,CHI,R,183.0,2000-08-28,2011-08-29
Andre Sa,andre sa,BRA,R,185.0,2000-05-29,2004-06-21
Cyril Saulnier,cyril saulnier,FRA,R,190.0,2000-01-17,2006-01-16
Carlos Moya,carlos moya,ESP,R,190.0,2000-05-29,2010-01-18
Greg Rusedski,greg rusedski,GBR,L,193.0,2000-05-29,2006-08-28
Galo Blanco,galo blanco,ESP,R,173.0,2000-01-17,2004-06-21
Xavier Malisse,xavier malisse,BEL,R,185.0,2000-08-28,2013-08-26
Wayne Arthurs,wayne arthurs,AUS,L,190.0,2000-01-17,2007-06-25
Lars Burgsmuller,lars burgsmuller,GER,R,183.0,2000-08-28,2006-01-16
Alex Calatrava,alex calatrava,ESP,R,190.0,2001-01-15,2005-06-20
Jan Siemerink,jan siemerink,NED,L,183.0,2000-01-17,2001-08-27
Cecil Mamiit,cecil mamiit,PHI,R,173.0,2000-01-17,2004-01-19
Mikhail Youzhny,mikhail youzhny,RUS,R,183.0,2001-01-15,2018-08-27
Ivo Heuberger,ivo heuberger,SUI,R,188.0,2001-01-15,2004-08-30
Nikolay Davydenko,nikolay davydenko,RUS,R,178.0,2001-01-15,2014-05-26
Guillermo Canas,guillermo canas,ARG,R,185.0,2000-01-17,2009-06-22
Michal Tabara,michal tabara,CZE,R,175.0,2000-01-17,2005-06-20
Sergi Bruguera,sergi bruguera,ESP,R,188.0,2000-05-29,2001-08-27
Michael Russell,michael russell,USA,R,173.0,2000-06-26,2015-01-19
Kristian Pless,kristian pless,DEN,R,188.0,2001-05-28,2007-08-27
Tommy Robredo,tommy robredo,ESP,R,180.0,2001-01-15,2018-08-27
Jean Rene Lisnard,jean rene lisnard,MON,R,173.0,2000-05-29,2011-08-29
Marcos Ondruska,marcos ondruska,RSA,R,183.0,2001-01-15,2001-05-28
Jacobo Diaz,jacobo diaz,ESP,R,173.0,2000-01-17,2003-01-13
Jose Acasuso,jose acasuso,ARG,R,190.0,2001-05-28,2010-01-18
Andy Roddick,andy roddick,USA,R,188.0,2000-08-28,2012-08-27
Jan Frode Andersen,jan frode andersen,NOR,L,190.0,2001-05-28,2001-05-28
Andrei Stoliarov,andrei stoliarov,RUS,R,178.0,2001-01-15,2002-06-24
Albert Montanes,albert montanes,ESP,R,175.0,2001-05-28,2016-06-27
Nicolas Coutelot,nicolas coutelot,FRA,R,185.0,2001-05-28,2003-05-26
David Sanchez,david sanchez,ESP,R,183.0,2000-08-28,2005-05-23
Magnus Larsson,magnus larsson,SWE,R,193.0,2001-05-28,2003-01-13
Barry Cowan,barry cowan,GBR,L,188.0,2000-06-26,2002-06-24
Bob Bryan,bob bryan,USA,L,193.0,2000-08-28,2001-08-27
Davide Sanguinetti,davide sanguinetti,ITA,R,188.0,2000-01-17,2007-06-25
German Puentes,german puentes,ESP,R,173.0,2001-01-15,2001-08-27
Kenneth Carlsen,kenneth carlsen,DEN,L,190.0,2001-06-25,2006-05-29
Felix Mantilla,felix mantilla,ESP,R,180.0,2000-01-17,2005-08-29
Taylor Dent,taylor dent,USA,R,188.0,2000-06-26,2010-08-30
Jamie Delgado,jamie delgado,GBR,R,178.0,2000-01-17,2006-06-26
David Nalbandian,david nalbandian,ARG,R,180.0,2001-08-27,2012-06-25
George Bastl,george bastl,SUI,R,183.0,2000-01-17,2006-08-28
James Blake,james blake,USA,R,185.0,2001-08-27,2013-08-26
Bjorn Phau,bjorn phau,GER,R,175.0,2000-05-29,2013-01-14
Jack Brasington,jack brasington,USA,R,188.0,2001-08-27,2003-01-13
Ivan Ljubicic,ivan ljubicic,CRO,R,193.0,2000-01-17,2012-01-16
Robby Ginepri,robby ginepri,USA,R,183.0,2001-08-27,2014-05-26
Ramon Delgado,ramon delgado,PAR,R,185.0,2001-08-27,2010-06-21
Jean Francois Bachelot,jean francois bachelot,FRA,R,183.0,2002-01-14,2002-06-24
Alexandre Simoni,alexandre simoni,BRA,R,188.0,2001-08-27,2002-06-24
Mardy Fish,mardy fish,USA,R,188.0,2000-08-28,2015-08-31
Alex Kim,alex kim,USA,R,175.0,2000-08-28,2003-08-25
Sebastien De Chaunac,sebastien de chaunac,FRA,R,183.0,2001-08-27,2009-01-19
Feliciano Lopez,feliciano lopez,ESP,L,188.0,2001-05-28,2022-06-27
Amir Hadad,amir hadad,ISR,R,183.0,2002-05-27,2002-05-27
Jarkko Nieminen,jarkko nieminen,FIN,L,185.0,2002-01-14,2015-08-31
Irakli Labadze,irakli labadze,GEO,L,188.0,2002-01-14,2006-06-26
Paul Henri Mathieu,paul henri mathieu,FRA,R,185.0,2001-05-28,2017-05-29
Oleg Ogorodov,oleg ogorodov,UZB,R,193.0,2002-05-27,2002-05-27
Flavio Saretta,flavio saretta,BRA,R,183.0,2002-01-14,2006-08-28
Gregory Carraz,gregory carraz,FRA,R,190.0,2002-06-24,2005-01-17
Julian Knowle,julian knowle,AUT,L,188.0,2001-06-25,2004-06-21
Jeff Morrison,jeff morrison,USA,R,185.0,2002-06-24,2006-08-28
Jan Vacek,jan vacek,CZE,R,198.0,2001-06-25,2004-06-21
Mario Ancic,mario ancic,CRO,R,196.0,2002-06-24,2009-01-19
Scott Draper,scott draper,AUS,L,178.0,2000-01-17,2005-06-20
Radek Stepanek,radek stepanek,CZE,R,185.0,2002-06-24,2017-01-16
Alexander Waske,alexander waske,GER,R,188.0,2002-06-24,2007-08-27
Nicolas Thomann,nicolas thomann,FRA,R,183.0,2001-05-28,2002-06-24
Karol Beck,karol beck,SVK,R,180.0,2002-06-24,2012-08-27
Noam Okun,noam okun,ISR,R,185.0,2000-01-17,2006-08-28
Robin Soderling,robin soderling,SWE,R,193.0,2002-08-26,2011-06-20
John Van Lottum,john van lottum,NED,R,185.0,2000-01-17,2004-06-21
Dick Norman,dick norman,BEL,L,203.0,2002-08-26,2006-06-26
Gaston Etlis,gaston etlis,ARG,R,185.0,2002-08-26,2002-08-26
Jurgen Melzer,jurgen melzer,AUT,L,183.0,2000-06-26,2017-01-16
Todd Larkham,todd larkham,AUS,R,178.0,2002-01-14,2004-01-19
Vadim Kutsenko,vadim kutsenko,RUS,R,180.0,2003-01-13,2004-01-19
Joseph Sirianni,joseph sirianni,AUS,R,175.0,2000-01-17,2008-01-14
