player_id,name,name_norm,ioc,first_seen_date,last_seen_date,match_count
48353604,Andrey Kuznetsov,andrey kuznetsov,USA,2006-08-28,2022-05-23,39
63724855,Andrey Rublev,andrey rublev,RUS,2015-08-31,2025-07-06,93
52577225,Andy Murray,andy murray,GBR,2005-06-20,2024-05-27,257
56621152,Andy Ram,andy ram,ISR,2004-06-21,2004-06-21,1
52300464,Andy Roddick,andy roddick,USA,2000-08-28,2012-08-27,176
59204007,Ante Pavic,ante pavic,CRO,2014-05-26,2014-06-23,3
48888521,Antoine Hoang,antoine hoang,FRA,2019-05-27,2021-08-30,9
27062350,Antonio Veic,antonio veic,CRO,2010-01-18,2011-05-22,5
53195913,Antony Dupuis,antony dupuis,FRA,2000-01-17,2005-06-20,28
19235851,Arnau Brugues Davi,arnau brugues davi,ESP,2013-01-14,2013-01-14,1
54968648,Arnaud Clement,arnaud clement,FRA,2000-01-17,2012-05-27,99
71135006,Arnaud Di Pasquale,arnaud di pasquale,FRA,2000-05-29,2004-08-30,15
81264196,Artem Derepasko,artem derepasko,RUS,2001-06-25,2001-06-25,1
46085275,Arthur Cazaux,arthur cazaux,FRA,2021-05-31,2025-07-03,12
36823293,Arthur De Greef,arthur de greef,BEL,2017-05-29,2017-05-29,1
98741961,Arthur Fery,arthur fery,GBR,2023-03-07,2025-07-03,2
64847893,Arthur Fils,arthur fils,FRA,2023-03-07,2025-05-31,13
51629851,Arthur Rinderknech,arthur rinderknech,FRA,2020-09-28,2025-07-04,25
19102570,Arvind Parmar,arvind parmar,GBR,2000-01-17,2004-06-21,8
56370289,Aslan Karatsev,aslan karatsev,RUS,2021-05-31,2024-05-27,27
31180705,Attila Balazs,attila balazs,HUN,2020-08-31,2023-08-28,7
89301598,Attila Savolt,attila savolt,HUN,2000-05-29,2003-05-26,13
1397516,Auger-Aliassime F.,auger-aliassime f,CAN,2025-01-13,2025-07-03,5
69414241,Augustin Gensse,augustin gensse,FRA,2011-05-22,2011-08-29,2
92599157,Austin Krajicek,austin krajicek,USA,2008-08-25,2016-01-18,5
56290182,Axel Michon,axel michon,FRA,2014-05-26,2014-05-26,2
91862659,Axel Pretzsch,axel pretzsch,GER,2000-01-17,2002-01-14,3
16147113,Barry Cowan,barry cowan,GBR,2000-06-26,2002-06-24,6
44848596,Basavareddy N.,basavareddy n,USA,2025-01-13,2025-06-30,2
4774359,Bastian Knittel,bastian knittel,GER,2013-06-24,2013-06-24,1
82956618,Bautista Agut R.,bautista agut r,ESP,2025-01-14,2025-06-30,3
16684172,Ben Shelton,ben shelton,USA,2022-08-29,2025-07-09,28
51768529,Benedikt Dorsch,benedikt dorsch,GER,2006-06-26,2006-06-26,1
72898107,Benjamin Becker,benjamin becker,GER,2006-06-26,2016-08-29,55
66463081,Benjamin Bonzi,benjamin bonzi,FRA,2017-05-29,2025-07-02,23
80527871,Benjamin Mitchell,benjamin mitchell,AUS,2012-01-16,2013-01-14,2
3656666,Benoit Paire,benoit paire,FRA,2010-05-24,2023-05-29,91
